created_at,tweet_id,text,lang,possibly_sensitive,type
2021-11-22 20:22:55+00:00,1466140778263199747,"@davidemccune @Leftylockdowns1 @ChrisMasterjohn @DrJBhattacharya 100% agree! But if you’ve already had it then you’re good to go. Also, if you’ve had 2 shots, then why get a booster? Why isn’t it better to get Covid while it will be mild then you have nat imm?",en,False,replied_to
2021-11-22 20:22:55+00:00,1466140778015739906,@troypallotto @waspoppop @jeremynewberger Plus Covid has a 99.9% survivability rating. HIV is permeant.,en,False,replied_to
2021-11-22 20:22:55+00:00,1466140777889898500,"desgraçado, matou mais que a Covid https://t.co/ncXKg5gm3u",pt,False,quoted
2021-11-22 20:22:55+00:00,1466140777650794503,"For you dump anti vaccers! Televangelist Marcus Lamb, the founder of the conservative Christian Daystar Television Network, which repeatedly promoted anti-vaccine messages, died Tuesday after contracting COVID-19. He was 64.",en,False,
2021-11-22 20:22:55+00:00,1466140777613041680,"Rochester Amerks hockey games have been postponed through Friday due to COVID-19 protocols.

https://t.co/klAI4ihfNk",en,False,
2021-11-22 20:22:55+00:00,1466140777575292932,"@PeterSweden7 Aboriginal teenagers who all tested negative for COVID, at that",en,False,replied_to
2021-11-22 20:22:55+00:00,1466140777361416192,White becomes 2nd Bulls player with COVID-19 https://t.co/z9E5QNLc1G https://t.co/WqaottCA5j,en,False,
2021-11-22 20:22:55+00:00,1466140777277501452,https://t.co/WgIAMMBqhU,und,False,
2021-11-22 20:22:55+00:00,1466140775096500239,También COVID JAJAJAJA https://t.co/fNbiiPuKut,es,False,quoted
2021-11-22 20:22:54+00:00,1466140774886612998,"the irony of me having a reaction to my covid booster (which is a half-dose of the original vaccine), but not having a reaction from the first two (full) doses 😅",en,False,
2021-11-22 20:22:54+00:00,1466140774819635205,Si la covid afectara a los niños y cada día murieran 4 o 5 no vacunados ya no habría negacionistas.,es,False,
2021-11-22 20:22:54+00:00,1466140774249160716,"@littleLishka @PamLongCO @mother_american They claim to be experts of COVID, biochemical mechanisms, immunology, virology, physiology, epidemiology, etc… so how is their ignorance and carelessness even an excuse? At this point, it’s clear malice.

This is major fuckin problem because many needlessly suffer because of it",en,False,replied_to
2021-11-22 20:22:54+00:00,1466140773930319873,@Nebr_Agron078 Sounds to me like some vaccinated person was carrying Covid and gave it to Grandma.,en,False,replied_to
2021-11-22 20:22:54+00:00,1466140772873420804,"Coby white placé sous protocole covid je vois pas mal de réaction en mode ""tant mieux"" les gars? Il pourrait tellement apporter à l'équipe en 6ème homme il est jeune c'est sa 3ème année chill.
Déjà billy a compris qu'il était pas meneur maintenant laisser lui comprendre son rôle",fr,False,
2021-11-22 20:22:54+00:00,1466140772718284800,@kaitlancollins Who cares?  So what?  This changes nothing other than good news as it’s less virulent. U Covid lunatics are so gullible,en,False,replied_to
2021-11-22 20:22:54+00:00,1466140772554715137,"Remember at the beginning of all this they said people would be dropping dead in the streets because of covid! Scaring ppl into getting the jabs! 
Well, now ppl are dropping down quite often since the jab roll out!! 
It's even on live TV FFS!!!",en,False,
2021-11-22 20:22:54+00:00,1466140771468390405,"@grantsneddon5 Cardiology departments in Lanarkshire hospitals are a telling story, everyone's been far too distracted about what the media are saying about the ICU's for covid patients.",en,False,replied_to
2021-11-22 20:22:54+00:00,1466140771409698818,"Of all the despicable things TFG has done, this is among his worst. Right behind ignoring the pandemic and allowing over 500,000 Americans to die from Covid-19 on his watch. https://t.co/whcnpDgZZs",en,False,quoted
2021-11-22 20:22:53+00:00,1466140770545516544,If I come out positive for COVID I’m committing cause I’ve avoided large gathers concerts and even my own family to prevent,en,False,
2021-11-22 20:22:53+00:00,1466140770222714883,"@rpoconnor It's almost as if the ""vaccine"" doesn't work or something. Players and families must be so happy to have risked heart damage in order to be eligible to play, only to find out they got the Covid anyway.",en,False,replied_to
2021-11-22 20:22:53+00:00,1466140769912340497,"More proof it isn't about public health.

Vaccinated people who could have Covid, accepted. Unvaccinated people who can prove they don't have Covid with a test, not accepted. https://t.co/FErSsJbLsP",en,False,quoted
2021-11-22 20:22:53+00:00,1466140769224298496,"@CNBC The omicron variant patient was fully vaccinated, so to stop more covid cases we need to get vaccinated.

Huh",en,False,replied_to
