created_at,text,lang,tweet_id,possibly_sensitive,type
2021-12-01T04:05:54.000Z,Deadline รายงานว่ายอดขายตั๋วพรีเซลของ Spider-Man: No Way Home บน Fandango สูงสุดตั้งแต่ Avengers: Endgame แถมสูงกว่ายอดของ Avengers: Infinity War และ Star Wars: The Rise of Skywalker และใช้เวลาเพียง 2 ชั่วโมงในการแซง Black Widow คาดว่ารายได้เปิดตัวในอเมริกาจะทะลุยอด $100 ล้านด้วย https://t.co/1kCIa5qqjb,und,1465894902651183104,False,
2021-12-01T04:03:59.000Z,"If a female Black Widow spider plays Marry, F**k, Kill … Is it a game or just a description of the wedding night?",en,1465894421979820036,False,
2021-12-01T04:03:53.000Z,Black Widow wasn’t as bad as I thought it would,en,1465894397049020424,False,
2021-12-01T04:03:16.000Z,@SeaOfThieves thoughts on pepper potts AKA ironman widow her husband died in endgame marvel movien 2019 black wido also died and captain america retired and thor jouined guardians of the galaxy and thanos died twice isnt that crazy https://t.co/TIBDKMLB6L,en,1465894239707885573,False,
2021-12-01T04:02:54.000Z,"Lo que habra sido ver por primera vez en el cine a Scarlette Johansson como Black Widow en Iron Man 2 en el 2010, una locura y que buena época donde no había tantos spoilers ni teorías como ahora, ibas veías la película y listo",es,1465894148871970819,False,
2021-12-01T04:02:50.000Z,"If a female Black Widow spider plays Marry, F**k, Kill … are all the answers the same? Or is it just a chronology.",en,1465894132698673152,False,
2021-12-01T04:01:39.000Z,"The way Eternals, Shang-Chi, Black Widow, Hawkeye, Venom 2, FATWS, WandaVision and Loki all were in the same year but they feel like separate years.",en,1465893831866519556,False,
2021-12-01T04:00:58.000Z,"This is in the oven. But these need to add the pbbtthh ripper on one of the sides. Just merked my finger. Have had 2 heart surgeries, broken neck, bit by black widow and emergency appendicitis. This hurts worse. And I’m and A’s and Sac Kings fan. @stoolpresidente 9.9 though. https://t.co/n5ZONKVM6q",en,1465893662504591361,False,
2021-12-01T04:00:41.000Z,https://t.co/f6ddl1THwv Widow&amp;avatar=6,en,1465893589888782346,False,
2021-12-01T04:00:29.000Z,Black widow https://t.co/j0UMyRz8ER,en,1465893541515653123,False,quoted
2021-12-01T03:59:37.000Z,@MCU_Direct Woke black widow fans are triggered 😡😡😡 I told you guys now stfu and watch your boring ass black widow movie.,en,1465893320870223879,False,replied_to
2021-12-01T03:59:07.000Z,"I really like comics Black Widow, which always makes me sad when I remember who plays her in the MCU",en,1465893195070410752,False,
2021-12-01T03:57:08.000Z,"@cruzwriter I’m not completely caught up on everything new, so I’d be missing some good ones, but I did really like Black Widow 😊 Thought it was a very good and solid film 📝🎬🎥😎",en,1465892696157921282,False,replied_to
2021-12-01T03:56:19.000Z,black widow https://t.co/K7TgrJiGqH,en,1465892493015203848,False,quoted
2021-12-01T03:53:43.000Z,@geoffkeighley @Lornebalfe He have make music for black widow and #Skylanders @geoffkeighley,en,1465891836942290944,False,replied_to
2021-12-01T03:53:06.000Z,Me (a marvel fan)  trying to get into this Black Widow movie. 🥴 https://t.co/H67gKyVrfk,en,1465891680402485252,False,
2021-12-01T03:52:02.000Z,I can’t believe I have a black widow tattoo. WTF is wrong with me 😂 https://t.co/H0cKFLpLJU,en,1465891413158100995,False,
2021-12-01T03:50:30.000Z,"@_NovelaGrafica @SonyPicturesCol Eso es 10000 más de lo que vendió black widow globalmente, esto es una locura",es,1465891029148647432,False,replied_to
2021-12-01T03:49:40.000Z,@CynicalKM The bad guy from Black Widow.,en,1465890817768398852,False,replied_to
2021-12-01T03:47:20.000Z,Black Widow https://t.co/TFXjnowzX1 #BlackWidow adqwd,en,1465890230028931073,False,
2021-12-01T03:46:51.000Z,"Some genuinely great movies but there’s a big drop off in quality after a certain point 😬
1. Dune
2. NTTD
3. A Quiet Place Part 2
4. F9
5. Shang Chi
6. Godzilla vs Kong
7. Venom: Let There Be Carnage
8. Eternals
9. Black Widow
10. Free Guy

Didn’t watch Jungle Cruise https://t.co/jdmQX4NqyF",en,1465890110407380992,False,quoted
2021-12-01T03:45:07.000Z,"Black Widow,Thor,Captain America,Hulk,Hawkeye, Iron Man {}",en,1465889674606833665,False,
2021-12-01T03:44:48.000Z,I totally forgot about black widow pretty good movie better than expected the ending though why go after Hawkeye? Anyways 8/10,en,1465889592654151688,False,
2021-12-01T03:44:21.000Z,Black Widow https://t.co/TFXjnowzX1 #BlackWidow,en,1465889481115021313,False,
2021-12-01T03:41:56.000Z,@nehan_wacha RazerのBlack Widow v3買っときゃとりあえず大丈夫 ちなみに黄色軸オヌヌメ,ja,1465888870906560517,False,replied_to
2021-12-01T03:41:06.000Z,"1. No Time To Die 
2. Free Guy 
3. A Quiet Place 
4. Godzilla vs Kong 
5. Shang-chi
6. Dune
7. Venom
8. F9
9. Eternals 
10. Black Widow

Haven't seen Jungle Cruise. https://t.co/pTzhI1Tqpm",en,1465888660704821253,False,quoted
2021-12-01T03:40:28.000Z,"@Fandango 1. No Time To Die 
2. Free Guy 
3. A Quiet Place 
4. Godzilla vs Kong 
5. Shang-chi
6. Dune
7. Venom
8. F9
9. Eternals 
10. Black Widow

Haven't seen Jungle Cruise.",en,1465888500985651203,False,replied_to
2021-12-01T03:38:49.000Z,"BLACK WIDOW 2010, ISSUE FOUR https://t.co/K1WNnSqC92",en,1465888087930597377,False,
2021-12-01T03:38:43.000Z,"Space Jam: A New Legacy 
Free Guy
Tom and Jerry
The Mitchells vs. the Machines
Zack Snyder's Justice League 
The Suicide Squad
A Quiet Place Part II
Halloween Kills 
Black Widow
Shang-Chi and the Legend of the Ten Rings
Last Night in Soho
(Could change this at some point) https://t.co/MbsZOvYKrP",en,1465888063159083008,False,quoted
