possibly_sensitive,tweet_id,lang,created_at,text,type,clean_tweet
False,1466143713382465536,en,2021-11-23 20:34:35+00:00,"Today’s trending topics:
- abortion ban
- school shooting
- new covid variant 
- Dick Pound 

I’ve never seen a more accurate America Wrapped",,"['new', 'shooting', 'abortion', 'variant', 'wrapped', 'never', 'topic', 'covid', 'ban', 'dick', ""'s"", 'america', 'I', 'seen', 'today', 'school', 'accurate', 'pound', 'trending']"
False,1466143712929619970,es,2021-11-23 20:34:35+00:00,“Yo no voy a sitios asi sin control de covid como la placita” dice la que se pasa todos los viernes en jangueos de placita,,"['como', 'placita', 'se', 'voy', 'dice', 'los', 'covid', 'jangueos', 'asi', 'sitios', 'pasa', 'la', 'sin', 'de', 'control', 'en', 'viernes', 'todos', 'yo', 'que']"
False,1466143712841506823,fr,2021-11-23 20:34:35+00:00,Pour une fois que je trouve un mec bien et sain il me refile le Covid… #couplegoal,,"['mec', 'sain', 'je', 'bien', 'fois', 'refile', 'et', 'il', 'covid', 'un', 'pour', 'une', 'que', 'trouve', 'le']"
False,1466143712778469376,en,2021-11-23 20:34:35+00:00,Covid-19: Here are the latest global developments as world grapples with Omicron variant https://t.co/N1M92IAVhD,,"['latest', 'global', 'development', '19', 'world', 'covid', 'omicron', 'grapple', 'variant']"
False,1466143711897735177,en,2021-11-23 20:34:35+00:00,@RomanCabanac One of my kids currently have covid. Just a snotty nose. 10 yrs old. His twin brother negative but also the same snotty nose.,replied_to,"['nose', 'covid', 'old', 'yr', 'one', '10', 'kid', 'negative', 'twin', 'also', 'brother', 'snotty', 'currently']"
False,1466143710077403142,en,2021-11-23 20:34:34+00:00,"@NicolaBeddoes Aren't the pro mask lot nasty? And uninformed too. 47 studies confirm ineffectiveness of masks for COVID and 32 more confirm their negative health effects
https://t.co/ugKVnuMRX0",replied_to,"['mask', '47', 'mask', 'pro', 'nasty', 'covid', 'confirm', 'ineffectiveness', 'health', 'effect', 'negative', 'study', '?', '32', 'uninformed', 'lot']"
False,1466143709179879425,en,2021-11-23 20:34:34+00:00,"Here’s my poem, again.
Share if you care.

I like vodka with lime.
A nonsense word is cacksinated.
Covid stinks big time.
Get your booty vaccinated. https://t.co/lacMHzYeIV",,"['vaccinated', 'vodka', 'nonsense', 'share', 'cacksinated', 'covid', 'booty', 'stink', 'poem', 'big', 'like', 'get', 'care', 'word', 'lime', 'time']"
False,1466143708957528067,en,2021-11-23 20:34:34+00:00,"@LincolnWatchman U are right, he left the WH full of Covid, and I think he did it on purpose",replied_to,"['wh', 'right', 'covid', 'full', 'left', 'purpose', 'think']"
False,1466143708743708674,en,2021-11-23 20:34:34+00:00,COVID-19: Some Omicron cases have 'mild' symptoms and experts should know more about transmission 'within days ... https://t.co/zER76zxWDi,,"['case', ""'mild"", 'symptom', 'transmission', '19', ""'within"", ""'"", 'covid', 'day', 'expert', 'omicron', 'know']"
False,1466143706638135299,it,2021-11-23 20:34:33+00:00,Via libera dell’Aifa alla vaccinazione Covid per i bimbi 5-11 anni https://t.co/7omIkz9uuk,,"['vaccinazione', 'libera', 'alla', 'bimbi', ""dell'aifa"", 'covid', '11', 'anni', '5', 'per', 'via']"
